review,sentiment
Enjoyable and calm game.,positive
very good game,positive
"In it's current state, I wouldn't recommend the game at all, the major changes done in the last year are not good, matchmaking system is going from bad to worse and the report system is beyond broken, penalizing you for speaking against bad plays or teammates. It used to be so much better in the past, ranked matches are horrendous now, turbo games are way more fun and laid back.",negative
"mantap
",positive
"bugged mess, worst than lol VALVe pls fix",negative
not fun,negative
"потратил лучшее время своей жизни на эту парашу
",positive
"So, your toxic ex, right? The one who was a straight-up mess everywhere but the sheets. Imagine that clown as a game. Boom, you're playing ""Emotional Russian Roulette."" And trust, the only thing you win is regret and a whole lotta dumb moves down the line.",positive
its for braindead people,positive
This game file keep having error when im tryna play this,negative
DOTA IS FUCKED UP WTF! poor draft always with fucking played with fucking idiotss!~!!!!!!~!~,negative
best moba game,positive
you can't play pudge in this game he is banned 24/7 i wish this game have where u can unban one hero or pick b4 you q up like why pudge banned all day ??,negative
Good,positive
"People usually compare DOTA to abusive relationships: you kind of unintentionally know and understand  that it has to finish sooner or later, but it is so comforting, addictive, and “adrenaliny” that even those who have courage to end (delete) it, usually come back after some time for that “high” (I absolutely hate and absolutely love you) feeling. 

For me, DOTA is more like a therapy: when im in the darkest state of mind, when I experience trauma in life, or when I am simply frustrated, I always return to DOTA for that “time travel until better days” kind of vibe. 

DOTA helps me relax by being a very engaging, focus, strategy, and right-decision-oriented game where I feel needed and useful (especially when I miss these feelings in real life). There is no other game like that.",positive
zxczxc,negative
good,positive
"too addictive
",negative
best,positive
wd wdawd,positive
Fun Gameplay and Cool Characters Design,positive
Nonsense TIME WASTING buLLSHIT GAME EVER MADE,negative
"this game is cancer
",negative
Go play league its way better,negative
nice mobagame,positive
good,positive
highly recommended,positive
good,positive
This game is like an abusive ex. You know the relationship you have with them is toxic but you keep coming back thinking that this time would be different.,positive
Спасибо спустя 3 часа прошел обучение,positive
kuk,positive
It is like heroin,negative
n/a,positive
"its good
",positive
i like dota :),positive
Very nice,positive
<3,positive
googo gaaga,positive
Good,positive
wq,positive
"in this game, people often teach you how to koll yourself, absoletely a good game",positive
It is the best game if you want a engaging fun challenging experience.,positive
"nc game i have anger issues,depression,insomnia now",positive
"this for funny, dont be serious.. just game ....",positive
"This is definitely a fun game, under certain conditions, but it has the worse community ever! And they add content like once a year, pretty disappointing to be honest.",negative
"VERY SATISFYING GAME, CAN'T SAY NO TO THIS GAME, ALWAY SWANNA GO BACK AND PLAY",positive
awsome,positive
Can someone help me how to unbanned my acct here in dota 2. I want to play. Its been 2 yrs,positive
Nice,positive
GIAO,positive
in too deep now,positive
I POISENED MY FAMILY,positive
Nice Very Game Dota 2,positive
This is the best game of my life,positive
"Half of my playtime was spent in queue, 10/10 still better than League",positive
This isn't a free game every match costs a piece of ur sanity until ur left with nothing but regret,negative
When i was a kid I used to play Warcraft 3 So i love Dota games and i recommend to dont miss this game,positive
"Jeu incroyable! 
J'ai jouer a Leaguge of Legend et ce jeu etait clairement meilleur pour finir les fesses pleines de sang.
:)",negative
